Treated1_PE,Treated2_PE,Treated3_PE,Treated4_PE,Untreated1_PE,Untreated2_PE,Untreated3_PE,Untreated4_PE
370.805747,563.6038400000001,366.7123,723,341.7514800000001,566.36213,443.96165799999994,396.99960000000004
12.71114,27.75465069,14.5566,24.083566256250002,11.780999999999999,8.09754,7.75267,24.660519999999998
8.095757456392,5.2380534689,6.00000054855,4.477886238,16.660399025849998,15,8.57628e-5,15.28298870332
0,1,3.999996,1,1,2.000002,1,1
0,0,0,0,0,0,0,0
0,1.84037,0,1.8756,7,2.7512,3,5.9091000000000005
0,6.1130700000000004,2.3714500000000003,9.000004,0,0,0,1.0009
5.30464,9.27905,16.34129,11.45935,9.906296000000001,13.16758,8.75777,14.18846
0,1.45189,1.88417,0,0,1,0,0
24.391,33.303653,20.780359999999998,29.516960000000005,2.4013422201,11.414708,6.290838,4.2020800000000005
53.599500000000006,68.86968,38.933279999999996,85.804349,53.344899999999996,82.33680000000001,62.444500000000005,51.5128
2,4,3.000004,3.9999990000000003,26,31.00198,22.999994,17.999969999999998
55.4913,138.071,76.1557,112.8,112.443,137.419,110.265,92.7177
7.84365,12.5752,7.20943,24.941,11.351,17.7021,10.3363,7.9705
0,0,0,1,0,1,0,0
12.70581602835,21.149900000000002,21.044529999999998,32.91124,18.35623,23.13707,14.165439999999998,22.59611
14.244800000000001,16.04063009966,43.42251999999999,19.456902,25.179417,33.76402,64.06782,57.62448199999999
12.488155,4,16.00004,5.390052,13.149090000000001,20.34764,20.26105,19.56081
232.18579,304.16427,233.9082,397.85649,288.54368000000005,359.94699999999995,284.59452,297.90236
420.2484,530.2239300000001,381.797,669.0989,719.9624000000001,907.5613,700.1847,723.98553
54.017059999999994,57.074329999999996,59.19765,86.41753999999999,39,43.354211620570005,60.00004,34.992599999999996
10.489927999999999,21.4274,22.5686,24.38741,4.957012000000001,10.4158,8.00016,9.82652
0,0,0,0,0,0,0,0
70.356712,127.91668999999999,86.643575,160.99616288000001,201.73954899999998,494.97147999999993,305.7334619999999,350.78630000000004
49.000017,68.0000402401823,51.000070023910105,92.99977323767999,59.0000000310505,76.000110147171,5.96505228,49.177623
11.661999999999999,9.99572,9.984372800000001,13.72087,1.60135,2.5281990000000003,3,0.03022
1,4,1,5.9999952,5.000003,2.9100799999999998,2.724589,2
50.9156,44.1674,51.2886,65.5043,1.55421,0.690605,2.55421,0
46.288749700000004,82.19071159999999,46.43525184300001,84.66681694,94.986212,42.8543466,32.96193649999999,100.87380409999999
1.04667,2.039192,2.09234,2.05359,0,0,2.05319,0
2.2301599999999997,2.3164900999999998,2.51715,1.47754,1.09928,2.89245,0,0
2,3,2,3,2.00000367311,0.999999914,2.000002,0
18.3592560617235,32.19364,17.42091,38.333349999999996,4.58763,2.433516,6.97257,7.002778
0.53244,2,0,0.06488,0,0.919615,1.26632,0.566349
15.421380000000001,8.99913,13.186670000000001,21.41751,11.78164,18.05097,2.216909,10
1,1,0,0,0,0,0,0.82566
10,22.996470000000002,18.127056300000003,27.81454,14.211839999999999,14.721588000000002,13.732392999999998,13.846134000000001
0,0,0,0,1,0,0,0
0.942562,1,3,3.8482000000000003,1.6735749999999998,5.000000246,3,4
64.0000200856721,119.000079,73.99995,128.9999,77.99988273299898,97.00002,84,77.99995928
53.99997731999999,61.0000000199744,39.999993,95.00008155200001,82.00004,93.999991,77.00002678000001,58.99994709999999
50,70.29656469100001,48,31.89183,2.024404,0.0196271,0.0172941,0.0216247
3.000004,9.00001,3.999998,14,0,1.03585,0,2
14.00002,25.00002,21.000035,40,31,56,25.000075000000002,45.999987999999995
136.65845843,175.41004,124.09137,246.95475199999998,154.15142,233.14166452092002,231.85849000000002,145.38289863532998
3.9235900105842,8.076430262594,4.1751515583100005,8.49909,4.56166308,6.286310370543,6.32386280707,4.753519
62.172470000000004,93.4041,123.14415000000001,207.66719999999998,0,0,1.000000157031,0
89.4242,153.18500114461,151.40300000000002,195.62500000000003,191.877,283.697,257.9942,198.69844
0,0,0,0,0,0,0,0
5.6712100605211,60.808699999999995,188.37770999999998,131.9671982316,13.777972000000002,162.59211,125.29704,173.85433
33.73726,40.00001,38.000012999999996,57.00000438853,19.000014999999998,31.390853999999997,19.000049,20.576109
30.26784,57.73531,47.38168,93.70996,28.38707,42.2196,35.0306,41.632000000000005
2.59183,12.7577,1.14958,1.57048,1.94733954456,7.5115,2.82733,2.46732
4.97011,3.893,1.2464947,0.260663,0.684942,5.0416799999999995,3.4238,1.22905
0,0.964419,0,0,0,0,0,0
115.25662965000001,153.92061,158.12899,178.94844300000003,150.078608,219.32941,181.740379,87.937873
2.1111004,0.966018,8,2.449466,5,1.55472,2.05274,6
0,0,0,0,0,0,0,0
109.63998,135.02165000000002,79.59374,217.08847,145.57452999999998,212.39878999999996,176.649779,157.59713
29.659499999999994,33.71097999999999,32.791879,34.66554,21.72073,37.75642,26.356080000000002,15.260743999999999
952.7242753286399,1128.2027699999999,865.11902,1465.39379,1511.4930749999999,2176.793010147502,1796.3839100000002,1649.3797399999999
3.11876,7,1,3.000002,1.5225870000000001,1.7552050000000001,2,5.999994000000001
38.743668,40.6544,24.561130000000002,52.7805,91.49289,110.111386,107.83937999999999,95.20976999999999
16.340342,5.547193999999999,6.18591,15.864440000000002,18.905170000000002,17.315309999999997,34.91538,14.449300000000001
11.000005999999999,30.001910000000002,13.000009,19.022437999999998,17.000007,27.00005,24.999969999999998,12.999997
7.00001,0,3.73598,9.18316,9,5,3.43506,3
43.99997400000001,55.999990440770986,40.00003,25.779367099999998,110.00000000000001,143.99963,64.3613,95.70416
204.053253,119.61949999999999,135.97658127474,256.6524,204.989791,211.07184399724,293.134903,238.41200000000003
10.78621,9.679309,5.317717,15.776280000000002,9.078551000000001,14.2265,10.35813,10.52008
0,0,0,0,0,0,0,0
2.5526,6.77599,11.07796,8.00081,5.54898,13.4825,31.356170000000002,10.7609
58.241749999999996,26.72249,95.83657199999999,115.75281,85.40433696,135.32079,93.89607000000001,115.14710000000002
17.85044,8.86422,5.71174,38.530080000000005,9.92469,22.13574,11.79748,16.70984
8,14,10,8.139076236697,11.000000299629,26.999996036000002,18,19.000020000000003
0,0,0,0,0,1,0,1
3.65012,0,8.74802,7.74128,0,0,1,0
2.637705,1.092508628,1.999996,12.00001,1.999997,2,1,2
0,0,0,0,0,0,0,0
7.999995,5.890637,1,4.0033,27.506735999999997,36.030375,35.574765,29.000002900000002
85.3832767,108.97587,93.76456,121.35902000000002,106.7900722469,164.03441,118.30830999999999,102.60023366533102
0,0,2,4.000002,0,2,1,2.000003
56.120881000000004,86.99998000000001,57.000029999999995,105.99993409999999,26.00001,26,38.00003732,27.999989999999997
1.27202,6.7389e-7,4.70493,10.7759,2.056528,12.2741,5.57969,6.14728
